id_vente,id_bien,date_mutation,nature_mutation,valeur_fonciere
1,1,2020-01-02,Vente,165000.0
2,2,2020-01-02,Vente,355680.0
3,3,2020-01-02,Vente,229500.0
4,4,2020-01-02,Vente,125000.0
5,5,2020-01-02,Vente,90000.0
6,6,2020-01-02,Vente,93000.0
7,7,2020-01-02,Vente,298100.0
8,8,2020-01-02,Vente,163500.0
9,9,2020-01-02,Vente,53000.0
10,10,2020-01-02,Vente,136000.0
11,11,2020-01-02,Vente,125900.0
12,12,2020-01-02,Vente,234000.0
13,13,2020-01-02,Vente,46210.0
14,14,2020-01-02,Vente,129000.0
15,15,2020-01-02,Vente,122500.0
16,16,2020-01-02,Vente,86025.0
17,17,2020-01-02,Vente,79000.0
18,18,2020-01-02,Vente,81795.0
19,19,2020-01-02,Vente,156000.0
20,20,2020-01-02,Vente,139900.0
21,21,2020-01-02,Vente,163870.0
22,22,2020-01-02,Vente,108100.0
23,23,2020-01-02,Vente,205000.0
24,24,2020-01-02,Vente,94000.0
25,25,2020-01-02,Vente,149500.0
26,26,2020-01-02,Vente,111500.0
27,27,2020-01-02,Vente,140000.0
28,28,2020-01-02,Vente,122850.0
29,29,2020-01-02,Vente,135850.0
30,30,2020-01-02,Vente,135500.0
31,31,2020-01-02,Vente,71250.0
32,32,2020-01-02,Vente,107000.0
33,33,2020-01-02,Vente,148400.0
34,34,2020-01-02,Vente,132000.0
35,35,2020-01-02,Vente,107194.0
36,36,2020-01-02,Vente,57200.0
37,37,2020-01-02,Vente,124770.0
38,38,2020-01-02,Vente,67000.0
39,39,2020-01-02,Vente,150830.0
40,40,2020-01-02,Vente,68900.0
41,41,2020-01-02,Vente,120000.0
42,42,2020-01-02,Vente,135460.0
43,43,2020-01-02,Vente,62000.0
44,44,2020-01-02,Vente,281000.0
45,45,2020-01-02,Vente,357000.0
46,46,2020-01-02,Vente,374000.0
47,47,2020-01-02,Vente,1147650.0
48,48,2020-01-02,Vente,145000.0
49,49,2020-01-02,Vente,324120.0
50,50,2020-01-02,Vente,408220.0
51,51,2020-01-02,Vente,582670.0
52,52,2020-01-02,Vente,80000.0
53,53,2020-01-02,Vente,840250.0
54,54,2020-01-02,Vente,266000.0
55,55,2020-01-02,Vente,473000.0
56,56,2020-01-02,Vente,207200.0
57,57,2020-01-02,Vente,49000.0
58,58,2020-01-02,Vente,101250.0
59,59,2020-01-02,Vente,35000.0
60,60,2020-01-02,Vente,132000.0
61,61,2020-01-02,Vente,472950.0
62,62,2020-01-02,Vente,478161.0
63,63,2020-01-02,Vente,153700.0
64,64,2020-01-02,Vente,155800.0
65,65,2020-01-02,Vente,624000.0
66,66,2020-01-02,Vente,135700.0
67,67,2020-01-02,Vente,196000.0
68,68,2020-01-02,Vente,172850.0
69,69,2020-01-02,Vente,120500.0
70,70,2020-01-02,Vente,224000.0
71,71,2020-01-02,Vente,367000.0
72,72,2020-01-02,Vente,132840.0
73,73,2020-01-02,Vente,78500.0
74,74,2020-01-02,Vente,72000.0
75,75,2020-01-02,Vente,107100.0
76,76,2020-01-02,Vente,134000.0
77,77,2020-01-02,Vente,68181.0
78,78,2020-01-02,Vente,275900.0
79,79,2020-01-02,Vente,160000.0
80,80,2020-01-02,Vente,267740.0
81,81,2020-01-02,Vente,395300.0
82,82,2020-01-02,Vente,269000.0
83,83,2020-01-02,Vente,406400.0
84,84,2020-01-02,Vente,326500.0
85,85,2020-01-02,Vente,275050.0
86,86,2020-01-02,Vente,138000.0
87,87,2020-01-02,Vente,65000.0
88,88,2020-01-02,Vente,185750.0
89,89,2020-01-02,Vente,235000.0
90,90,2020-01-02,Vente,176000.0
91,91,2020-01-02,Vente,140000.0
92,92,2020-01-02,Vente,170950.0
93,93,2020-01-02,Vente,265000.0
94,94,2020-01-02,Vente,112000.0
95,95,2020-01-03,Vente,102000.0
96,96,2020-01-03,Vente,142000.0
97,97,2020-01-03,Vente,164000.0
98,98,2020-01-03,Vente,33880.0
99,99,2020-01-03,Vente,71000.0
100,100,2020-01-03,Vente,43000.0
101,101,2020-01-03,Vente,181875.0
102,102,2020-01-03,Vente,240250.0
103,103,2020-01-03,Vente,616900.0
104,104,2020-01-03,Vente,212550.0
105,105,2020-01-03,Vente,317800.0
106,106,2020-01-03,Vente,420000.0
107,107,2020-01-03,Vente,44000.0
108,108,2020-01-03,Vente,237720.0
109,109,2020-01-03,Vente,146000.0
110,110,2020-01-03,Vente,69350.0
111,111,2020-01-03,Vente,121000.0
112,112,2020-01-03,Vente,70000.0
113,113,2020-01-03,Vente,145000.0
114,114,2020-01-03,Vente,43000.0
115,115,2020-01-03,Vente,210800.0
116,116,2020-01-03,Vente,210000.0
